Stability threshold: 100
# Columns: [Iteration] | [Stability] | 56bit Master Key
# * is not a search object
001 | 000 | 1111111_111111*_11**111_11*1111_111*111_*111111_1*11111_1111111
002 | 000 | 0100011_111111*_10**111_11*1111_111*011_*111101_1*11111_1111101
003 | 000 | 0110001_101011*_01**000_10*0010_111*010_*110111_1*00010_1100110
004 | 000 | 0110001_110001*_01**010_00*0010_110*001_*111111_0*01110_0110010
005 | 000 | 0010011_111011*_01**100_11*1010_000*010_*111111_0*01110_0110110
006 | 000 | 1011001_101011*_01**101_11*1110_110*010_*101101_0*10111_0110110
007 | 000 | 0010011_101011*_01**101_11*0010_010*010_*111111_0*10111_0110110
008 | 000 | 0111001_101001*_01**101_10*0010_010*000_*111101_0*10111_0110010
009 | 000 | 0111001_101001*_01**101_10*0010_010*000_*011101_0*10101_1100010
010 | 000 | 0110001_101001*_10**100_00*0110_010*000_*011101_0*10101_0111110
011 | 000 | 0110101_001001*_10**100_01*0101_011*010_*011100_0*10101_0111010
012 | 000 | 0110101_111001*_00**100_00*0101_010*010_*011100_0*10101_0110010
013 | 001 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
014 | 002 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
015 | 003 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
016 | 004 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
017 | 005 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
018 | 006 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
019 | 007 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
020 | 008 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
021 | 009 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
022 | 010 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
023 | 011 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
024 | 012 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
025 | 013 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
026 | 014 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
027 | 015 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
028 | 016 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
029 | 017 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
