Stability threshold: 100
# Columns: [Iteration] | [Stability] | R1 [Subkey0] ... [Subkey7] | R16 [Subkey0] ... [Subkey7] 
# ** is not a search object
001 | 000 | 61 ** 59 ** 04 61 ** 55 | 63 ** 63 63 23 63 63 63 
002 | 000 | 61 ** 59 ** 04 53 ** 51 | 27 ** 62 63 23 62 51 63 
003 | 000 | 08 ** 59 ** 04 53 ** 55 | 47 ** 60 53 22 28 08 04 
004 | 000 | 40 ** 59 ** 04 53 ** 55 | 60 ** 30 56 22 00 08 53 
005 | 000 | 40 ** 59 ** 04 53 ** 55 | 61 ** 50 26 22 28 41 44 
006 | 000 | 24 ** 59 ** 04 53 ** 55 | 61 ** 45 26 22 60 23 44 
007 | 000 | 24 ** 59 ** 04 53 ** 55 | 61 ** 56 26 22 60 42 44 
008 | 000 | 24 ** 59 ** 04 53 ** 55 | 61 ** 56 56 22 32 06 44 
009 | 000 | 24 ** 59 ** 00 53 ** 55 | 39 ** 56 56 22 32 06 44 
010 | 000 | 29 ** 59 ** 00 53 ** 55 | 20 ** 56 56 22 36 16 44 
011 | 000 | 29 ** 59 ** 00 13 ** 55 | 20 ** 56 46 22 50 16 44 
012 | 000 | 56 ** 59 ** 00 13 ** 55 | 20 ** 56 56 22 50 16 44 
013 | 001 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
014 | 002 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
015 | 003 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
016 | 004 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
017 | 005 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
018 | 006 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
019 | 007 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
020 | 008 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
021 | 009 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
022 | 010 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
023 | 011 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
024 | 012 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
025 | 013 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
026 | 014 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
027 | 015 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
028 | 016 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
029 | 017 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
030 | 018 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
031 | 019 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
032 | 020 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
033 | 021 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
034 | 022 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
035 | 023 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
036 | 024 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
037 | 025 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
038 | 026 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
039 | 027 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
040 | 028 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
041 | 029 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
042 | 030 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
043 | 031 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
044 | 032 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
045 | 033 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
046 | 034 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
047 | 035 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
048 | 036 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
049 | 037 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
050 | 038 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
051 | 039 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
052 | 040 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
053 | 041 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
054 | 042 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
055 | 043 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
056 | 044 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
057 | 045 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
058 | 046 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
059 | 047 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
060 | 048 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
061 | 049 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
062 | 050 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
063 | 051 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
064 | 052 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
065 | 053 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
066 | 054 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
067 | 055 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
068 | 056 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
069 | 057 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
070 | 058 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
071 | 059 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
072 | 060 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
073 | 061 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
074 | 062 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
