Stability threshold: 100
# Columns: [Iteration] | [Stability] | 56bit Master Key
# * is not a search object
001 | 000 | *111111_11*1111_1111111_11*1111_111*111_*1*1111_1*1*111_1111111
002 | 000 | *111111_11*1011_1111111_10*1111_110*111_*1*1110_0*1*110_1111101
003 | 000 | *110001_11*1011_0111111_10*0111_100*011_*0*0110_0*0*000_1111101
004 | 000 | *010101_10*0100_0001111_11*0000_111*101_*0*1010_1*1*101_0100000
005 | 000 | *110101_00*0000_1111111_01*0100_001*101_*1*1110_0*0*000_0100000
006 | 000 | *110101_00*0000_0011110_11*0100_011*101_*0*1110_1*1*100_0100000
007 | 000 | *111100_00*0000_0111000_01*1100_011*100_*1*1100_1*1*100_0100000
008 | 000 | *110111_00*0000_0111110_11*0100_011*011_*0*1110_1*1*100_0110000
009 | 000 | *110111_00*0010_0111110_11*0100_011*011_*0*1010_1*1*101_0110000
010 | 000 | *111101_00*0010_0111110_11*1100_011*011_*0*1000_1*1*101_0110000
011 | 000 | *111101_10*0010_0111110_11*1101_011*011_*0*1100_1*1*101_0110001
012 | 000 | *111100_10*0010_0011001_11*1001_011*010_*0*1100_1*1*101_0100011
013 | 000 | *111101_00*0010_0011111_11*1001_011*011_*0*1100_1*1*101_1100010
014 | 000 | *110101_00*0010_0111100_01*0101_011*010_*1*1100_1*1*101_0110010
015 | 000 | *110101_10*0011_0010100_11*0101_011*010_*0*1100_1*1*101_1100011
016 | 000 | *110101_10*0011_0110100_01*0101_011*010_*1*1100_1*1*101_0110011
017 | 000 | *110101_01*0011_1110100_01*0101_001*010_*1*1100_0*1*101_0110010
018 | 000 | *110101_01*0011_1110000_01*0101_001*011_*1*1100_0*1*101_0110010
019 | 000 | *110101_01*0011_0110100_01*0101_011*010_*1*1100_0*1*101_0110010
020 | 000 | *110101_01*0010_0111100_11*0101_011*010_*1*1100_0*1*101_0100010
021 | 001 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
022 | 002 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
023 | 003 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
024 | 004 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
025 | 005 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
026 | 006 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
027 | 007 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
028 | 008 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
029 | 009 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
030 | 010 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
031 | 011 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
032 | 012 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
033 | 013 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
034 | 014 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
035 | 015 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
036 | 016 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
037 | 017 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
038 | 018 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
039 | 019 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
040 | 020 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
041 | 021 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
042 | 022 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
043 | 023 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
044 | 024 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
045 | 025 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
046 | 026 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
047 | 027 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
048 | 028 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
049 | 029 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
050 | 030 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
