Stability threshold: 100
# Columns: [Iteration] | [Stability] | R1 [Subkey0] ... [Subkey7] | R16 [Subkey0] ... [Subkey7] 
# ** is not a search object
001 | 000 | 63 63 59 ** 04 15 27 63 | 63 ** ** 46 63 55 61 61 
002 | 000 | 61 63 59 ** 04 15 27 49 | 63 ** ** 40 55 55 61 61 
003 | 000 | 36 63 59 ** 00 11 27 49 | 55 ** ** 32 39 54 24 61 
004 | 000 | 26 37 59 ** 00 14 25 10 | 05 ** ** 46 22 35 24 61 
005 | 000 | 01 11 59 ** 00 11 25 32 | 44 ** ** 46 22 35 24 61 
006 | 000 | 26 11 59 ** 00 13 25 32 | 05 ** ** 46 22 35 24 61 
007 | 000 | 26 11 59 ** 00 13 25 32 | 44 ** ** 46 22 35 21 32 
008 | 000 | 26 11 59 ** 00 13 25 32 | 53 ** ** 46 22 50 56 61 
009 | 000 | 26 11 59 ** 00 13 25 18 | 53 ** ** 46 22 50 56 61 
010 | 000 | 26 11 59 ** 00 13 25 18 | 53 ** ** 46 22 50 21 61 
011 | 000 | 26 31 59 ** 00 13 25 51 | 53 ** ** 46 22 50 21 61 
012 | 000 | 26 31 59 ** 00 14 25 55 | 05 ** ** 46 22 50 21 32 
013 | 000 | 26 11 59 ** 00 14 25 55 | 07 ** ** 46 22 50 21 61 
014 | 000 | 26 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
015 | 000 | 26 31 59 ** 00 13 26 55 | 07 ** ** 46 22 50 16 44 
016 | 000 | 26 31 59 ** 00 13 26 55 | 60 ** ** 46 22 50 16 44 
017 | 000 | 49 11 59 ** 00 13 26 55 | 60 ** ** 46 22 50 16 44 
018 | 000 | 49 11 59 ** 00 13 26 55 | 60 ** ** 46 22 50 16 37 
019 | 000 | 56 11 59 ** 00 13 26 55 | 60 ** ** 46 22 50 16 44 
020 | 000 | 56 11 59 ** 00 13 25 55 | 45 ** ** 46 22 50 16 44 
021 | 001 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
022 | 002 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
023 | 003 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
024 | 004 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
025 | 005 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
026 | 006 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
027 | 007 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
028 | 008 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
029 | 009 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
030 | 010 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
031 | 011 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
032 | 012 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
033 | 013 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
034 | 014 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
035 | 015 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
036 | 016 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
037 | 017 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
038 | 018 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
039 | 019 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
040 | 020 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
041 | 021 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
042 | 022 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
043 | 023 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
044 | 024 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
045 | 025 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
046 | 026 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
047 | 027 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
048 | 028 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
049 | 029 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
050 | 030 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
051 | 031 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
052 | 032 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
053 | 033 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
054 | 034 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
055 | 035 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
056 | 036 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
057 | 037 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
058 | 038 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
059 | 039 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
060 | 040 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
061 | 041 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
062 | 042 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
